subid,comissoes,faturamento,gasto,lucro,roi,total_vendas,vendas_diretas,vendas_indiretas,qtd_itens,ticket_medio,cliques_anuncio,cliques_shopee,%_batimento_cliques
pantalonalanzinha,53.892199999999995,311.56,24.72,29.172199999999997,1.1801051779935274,7.0,1.0,6.0,7.0,44.50857142857143,384.0,743.0,193.48958333333331
pijamasuede,3.3,110.0,5.14,-1.8399999999999999,-0.35797665369649806,5.0,0.0,5.0,6.0,22.0,80.0,143.0,178.75
pin05,0.0,0.0,0.21,-0.21,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,57.14285714285714
pin08,0.0,0.0,0.3,-0.3,-1.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,50.0
pin09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0
pin11,0.0,0.0,0.03,-0.03,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pin16,2.034,67.8,0.12,1.9139999999999997,15.949999999999998,1.0,0.0,1.0,1.0,67.8,4.0,2.0,50.0
pin18,0.0,0.0,0.06,-0.06,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0
pin22,0.0,0.0,0.06,-0.06,-1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
pin26,0.0,0.0,0.42,-0.42,-1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,50.0
pin29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pin40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
pin52,0.3339,11.129999999999999,4.05,-3.7161,-0.9175555555555556,4.0,0.0,4.0,4.0,2.7824999999999998,145.0,64.0,44.13793103448276
pin56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
portalk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
s1s2s3s4s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
saialonga,15.789,52.63,0.0,15.789,0.0,1.0,0.0,1.0,1.0,52.63,0.0,0.0,0.0
sociallistrada,0.5913,19.71,15.69,-15.0987,-0.9623135755258126,1.0,0.0,1.0,1.0,19.71,160.0,274.0,171.25
story,3778.63279,22356.12,0.0,3778.63279,0.0,311.0,19.0,292.0,333.0,71.88463022508039,0.0,7682.0,0.0
sutiaadesivo,30.7438,541.98,20.11,10.6338,0.5287817006464446,7.0,1.0,6.0,7.0,77.42571428571429,602.0,203.0,33.72093023255814
ternofeminino02,7.999,79.99,17.48,-9.481000000000002,-0.5423913043478261,1.0,1.0,0.0,1.0,79.99,205.0,351.0,171.21951219512195
widejeans01,11.0232,52.89,23.67,-12.646800000000002,-0.5342965779467681,2.0,0.0,2.0,2.0,26.445,180.0,263.0,146.11111111111111
widejeansdp,151.7687,661.27,28.61,123.1587,4.304743096819294,13.0,1.0,12.0,15.0,50.86692307692307,397.0,739.0,186.14609571788415
