subid,comissoes,faturamento,gasto,lucro,roi,total_vendas,vendas_diretas,vendas_indiretas,qtd_itens,ticket_medio,cliques_anuncio,cliques_shopee,%_batimento_cliques
pin34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pin40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
pin43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
pin52,15.494399999999999,516.48,4.04,11.4544,2.835247524752475,3.0,0.0,3.0,3.0,172.16,153.0,68.0,44.44444444444444
pin56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
pin57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
portalk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
s1s2s3s4s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
sociallistrada,2.3082,76.94,5.53,-3.2218000000000004,-0.5826039783001808,1.0,0.0,1.0,1.0,76.94,49.0,87.0,177.55102040816325
story,986.26298,26067.19998,0.0,986.26298,0.0,420.0,17.0,403.0,452.0,62.06476185714286,0.0,10463.0,0.0
sutiaadesivo,5.3223,177.41,14.49,-9.1677,-0.6326915113871635,5.0,0.0,5.0,5.0,35.482,409.0,122.0,29.82885085574572
sutiapostural,0.7497,24.99,0.0,0.7497,0.0,1.0,0.0,1.0,1.0,24.99,0.0,0.0,0.0
ternofeminino02,1.0458,34.86,11.92,-10.8742,-0.912265100671141,1.0,0.0,1.0,1.0,34.86,165.0,280.0,169.6969696969697
widejeans01,3.8901,129.67,9.51,-5.6198999999999995,-0.5909463722397476,2.0,0.0,2.0,2.0,64.835,72.0,102.0,141.66666666666669
widejeansdp,15.1558,285.56,27.5,-12.3442,-0.44888,6.0,1.0,5.0,6.0,47.593333333333334,369.0,683.0,185.09485094850947
